iter	Passed	Remaining
406	6217	9058
407	6232	9043
408	6247	9028
409	6262	9011
410	6275	8992
411	6288	8975
412	6303	8958
413	6317	8942
414	6333	8927
415	6347	8911
416	6364	8897
417	6379	8882
418	6393	8866
419	6406	8847
420	6421	8831
421	6435	8815
422	6450	8798
423	6466	8784
424	6481	8769
425	6496	8752
426	6512	8738
427	6525	8721
428	6539	8704
429	6553	8687
430	6567	8670
431	6581	8654
432	6597	8639
433	6613	8625
434	6628	8609
435	6644	8595
436	6658	8578
437	6673	8562
438	6687	8545
439	6702	8530
440	6717	8514
441	6730	8496
442	6744	8480
443	6757	8462
444	6771	8445
445	6783	8426
446	6798	8410
447	6812	8393
448	6828	8379
449	6844	8365
450	6859	8349
451	6874	8334
452	6888	8318
453	6901	8299
454	6915	8282
455	6929	8267
456	6946	8253
457	6960	8236
458	6975	8221
459	6989	8204
460	7004	8189
461	7018	8173
462	7032	8156
463	7043	8136
464	7055	8117
465	7070	8102
466	7084	8085
467	7097	8068
468	7110	8050
469	7125	8034
470	7137	8016
471	7150	7999
472	7164	7981
473	7176	7964
474	7188	7945
475	7201	7928
476	7215	7910
477	7228	7893
478	7243	7878
479	7258	7863
480	7270	7845
481	7284	7828
482	7298	7812
483	7311	7795
484	7325	7778
485	7339	7762
486	7354	7746
487	7369	7732
488	7385	7718
489	7400	7702
490	7413	7685
491	7428	7670
492	7440	7651
493	7454	7635
494	7467	7618
495	7480	7601
496	7493	7584
497	7508	7568
498	7521	7551
499	7537	7537
500	7551	7521
501	7565	7504
502	7579	7489
503	7595	7474
504	7609	7458
505	7624	7443
506	7640	7429
507	7656	7415
508	7669	7398
509	7684	7382
510	7698	7366
511	7711	7350
512	7725	7334
513	7740	7318
514	7754	7302
515	7768	7286
516	7786	7274
517	7801	7259
518	7818	7245
519	7833	7230
520	7845	7213
521	7860	7197
522	7873	7181
523	7887	7164
524	7901	7148
525	7917	7134
526	7930	7118
527	7944	7102
528	7958	7086
529	7973	7070
530	7984	7052
531	7998	7036
532	8014	7021
533	8028	7006
534	8041	6989
535	8055	6973
536	8069	6957
537	8083	6941
538	8097	6926
539	8112	6910
540	8127	6895
541	8141	6879
542	8155	6863
543	8169	6847
544	8185	6833
545	8199	6817
546	8213	6802
547	8227	6786
548	8244	6772
549	8260	6758
550	8277	6745
551	8293	6730
552	8309	6716
553	8323	6701
554	8338	6685
555	8354	6671
556	8371	6657
557	8387	6643
558	8404	6630
559	8419	6615
560	8431	6598
561	8446	6582
562	8459	6566
563	8473	6550
564	8487	6534
565	8502	6519
566	8516	6503
567	8531	6488
568	8545	6473
569	8557	6456
570	8573	6441
571	8588	6426
572	8602	6410
573	8617	6395
574	8631	6379
575	8644	6363
576	8659	6348
577	8674	6333
578	8689	6318
579	8703	6302
580	8719	6288
581	8733	6272
582	8747	6256
583	8761	6240
584	8775	6225
585	8792	6211
586	8807	6196
587	8823	6182
588	8837	6167
589	8852	6151
590	8866	6135
591	8880	6120
592	8895	6105
593	8910	6090
594	8924	6074
595	8938	6059
596	8952	6043
597	8968	6028
598	8981	6012
599	8995	5996
600	9008	5980
601	9021	5964
602	9035	5949
603	9049	5933
604	9063	5917
605	9077	5901
606	9092	5886
607	9107	5872
608	9122	5856
609	9137	5842
610	9153	5827
611	9168	5812
612	9181	5796
613	9194	5780
614	9208	5764
615	9222	5749
616	9238	5734
617	9252	5719
618	9269	5705
619	9283	5689
620	9299	5675
621	9313	5660
622	9328	5645
623	9344	5630
624	9359	5615
625	9374	5600
626	9392	5587
627	9408	5573
628	9424	5558
629	9440	5544
630	9455	5529
631	9470	5514
632	9485	5499
633	9500	5484
634	9515	5469
635	9530	5454
636	9545	5439
637	9560	5424
638	9574	5409
639	9588	5393
640	9606	5380
641	9621	5365
642	9637	5350
643	9654	5336
644	9669	5322
645	9686	5307
646	9702	5293
647	9718	5278
648	9733	5263
649	9747	5248
650	9759	5231
651	9772	5216
652	9787	5200
653	9802	5186
654	9816	5170
655	9831	5155
656	9846	5140
657	9861	5125
658	9877	5110
659	9891	5095
660	9905	5080
661	9918	5064
662	9933	5049
663	9947	5033
664	9963	5019
665	9978	5004
666	9992	4988
667	10006	4973
668	10019	4957
669	10032	4941
670	10046	4925
671	10059	4909
672	10072	4894
673	10085	4878
674	10099	4862
675	10111	4846
676	10125	4830
677	10139	4815
678	10154	4800
679	10172	4787
680	10189	4773
681	10206	4759
682	10221	4743
683	10236	4729
684	10252	4714
685	10278	4704
686	10306	4695
687	10325	4682
688	10343	4668
689	10359	4654
690	10376	4639
691	10392	4625
692	10407	4610
693	10422	4595
694	10437	4580
695	10451	4565
696	10466	4550
697	10480	4534
698	10497	4520
699	10514	4506
700	10530	4491
701	10545	4476
702	10562	4462
703	10578	4447
704	10596	4434
705	10613	4419
706	10629	4405
707	10643	4389
708	10659	4374
709	10673	4359
710	10688	4344
711	10703	4329
712	10719	4314
713	10734	4299
714	10751	4285
715	10768	4271
716	10784	4256
717	10799	4241
718	10813	4226
719	10829	4211
720	10844	4196
721	10858	4181
722	10872	4165
723	10888	4150
724	10902	4135
725	10914	4119
726	10928	4103
727	10941	4087
728	10956	4072
729	10969	4057
730	10983	4041
731	10997	4026
732	11011	4011
733	11026	3996
734	11041	3980
735	11053	3964
736	11067	3949
737	11080	3933
738	11095	3918
739	11111	3904
740	11126	3888
741	11140	3873
742	11154	3858
743	11168	3842
744	11181	3827
745	11194	3811
746	11208	3796
747	11221	3780
748	11235	3765
749	11248	3749
750	11262	3734
751	11275	3718
752	11289	3703
753	11302	3687
754	11316	3672
755	11329	3656
756	11341	3640
757	11353	3624
758	11367	3609
759	11381	3594
760	11396	3579
761	11410	3563
762	11425	3548
763	11439	3533
764	11453	3518
765	11466	3502
766	11482	3488
767	11499	3473
768	11514	3458
769	11529	3443
770	11544	3429
771	11559	3414
772	11576	3399
773	11591	3384
774	11608	3370
775	11623	3355
776	11640	3340
777	11657	3326
778	11672	3311
779	11687	3296
780	11702	3281
781	11718	3266
782	11731	3251
783	11748	3236
784	11768	3223
785	11785	3208
786	11800	3193
787	11818	3179
788	11835	3165
789	11852	3150
790	11866	3135
791	11880	3120
792	11896	3105
793	11911	3090
794	11927	3075
795	11943	3060
796	11957	3045
797	11972	3030
798	11985	3015
799	12000	3000
800	12014	2984
801	12030	2970
802	12043	2954
803	12058	2939
804	12075	2925
805	12092	2910
806	12109	2896
807	12127	2881
808	12144	2867
809	12160	2852
810	12177	2837
811	12193	2823
812	12210	2808
813	12227	2793
814	12243	2779
815	12260	2764
816	12275	2749
817	12291	2734
818	12308	2720
819	12324	2705
820	12339	2690
821	12354	2675
822	12369	2660
823	12383	2644
824	12398	2629
825	12411	2614
826	12427	2599
827	12442	2584
828	12456	2569
829	12471	2554
830	12486	2539
831	12501	2524
832	12515	2509
833	12530	2494
834	12544	2478
835	12559	2463
836	12573	2448
837	12588	2433
838	12602	2418
839	12617	2403
840	12630	2387
841	12643	2372
842	12656	2357
843	12669	2341
844	12681	2326
845	12695	2311
846	12708	2295
847	12721	2280
848	12735	2265
849	12749	2249
850	12764	2234
851	12780	2220
852	12794	2204
853	12808	2189
854	12823	2174
855	12838	2159
856	12854	2144
857	12868	2129
858	12881	2114
859	12895	2099
860	12908	2084
861	12921	2068
862	12935	2053
863	12948	2038
864	12962	2022
865	12977	2008
866	12992	1993
867	13006	1977
868	13019	1962
869	13032	1947
870	13045	1932
871	13060	1917
872	13074	1902
873	13087	1886
874	13101	1871
875	13115	1856
876	13129	1841
877	13143	1826
878	13156	1811
879	13170	1795
880	13183	1780
881	13196	1765
882	13211	1750
883	13226	1735
884	13241	1720
885	13256	1705
886	13270	1690
887	13283	1675
888	13297	1660
889	13310	1645
890	13324	1630
891	13337	1614
892	13352	1599
893	13366	1584
894	13379	1569
895	13394	1554
896	13409	1539
897	13422	1524
898	13436	1509
899	13448	1494
900	13462	1479
901	13476	1464
902	13490	1449
903	13505	1434
904	13520	1419
905	13533	1404
906	13547	1389
907	13560	1373
908	13573	1358
909	13584	1343
910	13597	1328
911	13611	1313
912	13625	1298
913	13639	1283
914	13653	1268
915	13667	1253
916	13682	1238
917	13697	1223
918	13712	1208
919	13727	1193
920	13740	1178
921	13755	1163
922	13768	1148
923	13781	1133
924	13794	1118
925	13808	1103
926	13820	1088
927	13836	1073
928	13850	1058
929	13864	1043
930	13876	1028
931	13889	1013
932	13902	998
933	13917	983
934	13931	968
935	13945	953
936	13959	938
937	13974	923
938	13987	908
939	14001	893
940	14016	878
941	14030	863
942	14044	848
943	14059	834
944	14072	819
945	14086	804
946	14102	789
947	14119	774
948	14135	759
949	14151	744
950	14167	729
951	14181	715
952	14193	700
953	14207	685
954	14219	670
955	14234	655
956	14248	640
957	14262	625
958	14275	610
959	14289	595
960	14301	580
961	14315	565
962	14326	550
963	14339	535
964	14353	520
965	14366	505
966	14379	490
967	14392	475
968	14405	460
969	14418	445
970	14431	431
971	14445	416
972	14459	401
973	14473	386
974	14488	371
975	14502	356
976	14516	341
977	14528	326
978	14544	311
979	14558	297
980	14571	282
981	14585	267
982	14598	252
983	14611	237
984	14625	222
985	14638	207
986	14650	192
987	14664	178
988	14678	163
989	14693	148
990	14708	133
991	14725	118
992	14745	103
993	14762	89
994	14777	74
995	14792	59
996	14806	44
997	14820	29
998	14834	14
999	14848	0
