iter	RMSE
301	73460.7736
302	73459.65297
303	73454.27717
304	73451.66786
305	73449.40851
306	73448.85705
307	73446.51431
308	73446.37806
309	73438.76927
310	73433.18635
311	73430.37034
312	73425.02823
313	73422.38405
314	73420.21643
315	73414.21913
316	73411.74521
317	73409.23315
318	73407.53559
319	73405.26201
320	73404.79432
321	73403.49569
322	73398.77782
323	73396.11121
324	73393.38961
325	73388.89757
326	73384.93836
327	73383.73
328	73379.92118
329	73376.52042
330	73373.19527
331	73371.11729
332	73369.50007
333	73366.77019
334	73362.70903
335	73361.74981
336	73356.54386
337	73351.43579
338	73349.34904
339	73346.88913
340	73345.43045
341	73341.31394
342	73337.57162
343	73335.02429
344	73330.85801
345	73326.74011
346	73324.10972
347	73321.89845
348	73312.76638
349	73311.34592
350	73307.48102
351	73305.31995
352	73302.63569
353	73301.72345
354	73299.88128
355	73297.53848
356	73295.5361
357	73293.72054
358	73290.69827
359	73288.92987
360	73288.11829
361	73287.34571
362	73281.85701
363	73277.05454
364	73274.9822
365	73267.53012
366	73265.30187
367	73263.55236
368	73253.62958
369	73251.14147
370	73247.92865
371	73243.03408
372	73240.06278
373	73234.86292
374	73232.16227
375	73229.0809
376	73227.26232
377	73226.77173
378	73226.01353
379	73221.77371
380	73213.95286
381	73208.07319
382	73203.18705
383	73201.23056
384	73198.14581
385	73195.71091
386	73192.55085
387	73187.4981
388	73184.74863
389	73181.20927
390	73175.22637
391	73170.60747
392	73166.9731
393	73165.43252
394	73158.5389
395	73156.47869
396	73155.60945
397	73152.97677
398	73150.93665
399	73145.74786
400	73140.61871
401	73136.73369
402	73134.7778
403	73129.87107
404	73126.54767
405	73121.8756
406	73119.66904
407	73117.33434
408	73114.92756
409	73112.57051
410	73110.61256
411	73109.43546
412	73107.65814
413	73105.88687
414	73100.16972
415	73095.42293
416	73089.32568
417	73087.6876
418	73082.31876
419	73077.63441
420	73075.19944
421	73072.70232
422	73057.85992
423	73055.57463
424	73051.1033
425	73048.78865
426	73046.96213
427	73042.69099
428	73039.71939
429	73038.55835
430	73035.51895
431	73033.9482
432	73032.3052
433	73030.52107
434	73024.2751
435	73021.95899
436	73020.50254
437	73016.08722
438	73012.23888
439	73009.84614
440	73007.75542
441	73000.98206
442	72998.98264
443	72994.56356
444	72990.3713
445	72986.04239
446	72982.56044
447	72978.51596
448	72975.85823
449	72974.06561
450	72971.133
451	72967.37821
452	72963.35983
453	72961.26049
454	72957.36438
455	72954.85194
456	72952.52667
457	72948.69517
458	72947.18157
459	72944.39325
460	72940.81503
461	72934.26787
462	72930.2482
463	72926.50048
464	72924.32221
465	72921.41571
466	72917.70416
467	72914.00724
468	72910.18953
469	72908.03271
470	72905.44877
471	72903.95262
472	72899.42989
473	72897.61811
474	72894.07022
475	72890.57924
476	72888.33205
477	72884.85514
478	72883.33104
479	72880.25665
480	72876.70771
481	72870.39872
482	72867.06939
483	72863.7601
484	72860.36483
485	72858.22589
486	72854.98389
487	72851.72584
488	72848.32303
489	72845.22933
490	72843.189
491	72841.85598
492	72838.7998
493	72836.15111
494	72833.15026
495	72830.18378
496	72827.28381
497	72824.76708
498	72821.90712
499	72819.17404
500	72816.35921
501	72815.12397
502	72813.90586
503	72811.11775
504	72808.39298
505	72803.10315
506	72799.28787
507	72797.1661
508	72794.45108
509	72792.75889
510	72790.09275
511	72787.75255
512	72785.12495
513	72783.65371
514	72781.06808
515	72778.54346
516	72772.31488
517	72769.80788
518	72767.50451
519	72766.18011
520	72763.73122
521	72761.29657
522	72758.89828
523	72753.95818
524	72747.81065
525	72745.39696
526	72743.04368
527	72740.71993
528	72738.30152
529	72733.43265
530	72731.1826
531	72728.9656
532	72726.7751
533	72723.14066
534	72720.95569
535	72718.80584
536	72716.55472
537	72714.34376
538	72712.28732
539	72710.26499
540	72708.13248
541	72706.14027
542	72704.18324
543	72703.05004
544	72700.87059
545	72698.9384
546	72696.90943
547	72695.03486
548	72692.31713
549	72690.96657
550	72689.30757
551	72687.46301
552	72684.01829
553	72682.07889
554	72680.28756
555	72673.87081
556	72669.02804
557	72667.26342
558	72664.9474
559	72663.20873
560	72661.50048
561	72656.90235
562	72655.21618
563	72654.13302
564	72652.47182
565	72650.83637
566	72649.23063
567	72646.68734
568	72644.2745
569	72642.66357
570	72640.47497
571	72638.8871
572	72638.08583
573	72636.61244
574	72635.04883
575	72633.50961
576	72629.70006
577	72628.17898
578	72627.1473
579	72625.74516
580	72621.12528
581	72619.62676
582	72618.03903
583	72616.62462
584	72612.10271
585	72611.09141
586	72609.638
587	72608.40169
588	72604.70055
589	72603.2683
590	72601.85812
591	72600.4709
592	72599.13992
593	72597.77164
594	72592.88975
595	72590.69209
596	72589.34417
597	72587.06765
598	72585.74003
599	72584.42745
600	72582.59261
601	72577.15524
602	72575.86197
603	72571.487
604	72568.3469
605	72567.07284
606	72566.18911
607	72564.28993
608	72563.03509
609	72560.05412
610	72557.67553
611	72549.45629
612	72548.21934
613	72547.00117
614	72545.80048
615	72540.67526
616	72537.62951
617	72534.8318
618	72533.32261
619	72528.4827
620	72527.30035
621	72526.38872
622	72522.81497
623	72517.8439
624	72516.67738
625	72512.8395
626	72510.91221
627	72505.97156
628	72504.08432
629	72502.28255
630	72501.1359
631	72497.65879
632	72493.02096
633	72491.89117
634	72490.77856
635	72488.07762
636	72480.08891
637	72478.66321
638	72477.56738
639	72476.48817
640	72474.64463
641	72473.58134
642	72471.35283
643	72466.69272
644	72462.80821
645	72460.9854
646	72457.97823
647	72456.9306
648	72441.63275
649	72439.05236
650	72435.01148
651	72430.64134
652	72429.60907
653	72426.59501
654	72422.76631
655	72420.99969
656	72419.86488
657	72417.17594
658	72416.15717
659	72415.15832
660	72411.54987
661	72407.63216
662	72392.80619
663	72391.02314
664	72385.08974
665	72382.16823
666	72374.41282
667	72373.42613
668	72369.30944
669	72364.20126
670	72362.20668
671	72361.23451
672	72360.27706
673	72357.24938
674	72356.31019
675	72351.74189
676	72350.81657
677	72347.94525
678	72339.0228
679	72324.71573
680	72322.4003
681	72320.64303
682	72318.80088
683	72310.09987
684	72305.77031
685	72303.49118
686	72302.57907
687	72294.09468
688	72290.56003
689	72287.10361
690	72286.20447
691	72282.06667
692	72281.18121
693	72277.839
694	72272.38546
695	72269.5428
696	72268.67051
697	72264.53066
698	72250.65667
699	72248.98353
700	72244.69153
701	72241.91764
702	72239.97851
703	72238.01249
704	72235.32575
705	72233.59363
706	72232.73563
707	72231.87543
708	72230.54376
709	72227.27631
710	72225.30998
711	72223.0117
712	72219.91367
713	72214.71514
714	72211.31105
715	72209.56941
716	72207.74036
717	72203.60258
718	72202.18542
719	72199.44169
720	72197.28016
721	72196.48021
722	72194.54106
723	72187.39254
724	72186.54497
725	72182.95082
726	72180.32849
727	72179.56511
728	72176.93847
729	72174.61499
730	72173.88123
731	72170.85801
732	72157.41485
733	72155.26678
734	72142.23949
735	72139.67458
736	72138.90691
737	72133.87258
738	72121.25351
739	72119.61451
740	72118.98181
741	72118.29051
742	72117.45463
743	72116.48986
744	72115.66676
745	72114.85618
746	72112.81426
747	72108.95098
748	72107.73846
749	72103.87793
750	72103.08093
751	72101.99036
752	72100.20921
753	72096.90372
754	72096.18449
755	72095.2864
756	72091.89293
757	72087.87249
758	72085.18542
759	72077.97309
760	72076.32125
761	72075.53668
762	72071.00869
763	72066.79931
764	72064.71401
765	72062.21528
766	72060.9133
767	72048.67421
768	72046.46154
769	72046.04843
770	72045.27522
771	72042.83831
772	72041.12025
773	72039.50101
774	72036.66519
775	72032.92451
776	72031.03149
777	72029.14652
778	72026.57583
779	72023.39573
780	72016.33557
781	72013.62947
782	72011.40806
783	71999.53871
784	71997.4144
785	71996.65222
786	71995.90165
787	71984.39805
788	71982.62184
789	71971.47278
790	71967.8385
791	71965.29278
792	71963.40728
793	71961.7942
794	71958.73395
795	71956.80546
796	71955.95446
797	71953.02512
798	71951.24436
799	71949.50332
800	71946.90492
801	71944.45905
802	71935.34172
803	71932.98046
804	71931.43972
805	71930.09427
806	71928.94115
807	71926.53279
808	71924.22268
809	71920.15697
810	71918.57337
811	71915.75165
812	71913.31088
813	71908.68137
814	71906.47378
815	71899.53823
816	71897.231
817	71894.16579
818	71883.3736
819	71881.09659
820	71876.7999
821	71875.60061
822	71874.22745
823	71864.72
824	71862.24593
825	71860.97564
826	71858.74863
827	71857.65625
828	71856.50252
829	71855.39773
830	71853.09388
831	71844.12725
832	71841.44732
833	71840.25694
834	71839.22197
835	71835.04075
836	71832.6141
837	71828.57348
838	71827.5912
839	71826.78382
840	71824.58156
841	71822.85895
842	71818.91891
843	71817.85919
844	71809.031
845	71807.18458
846	71798.49903
847	71797.48359
848	71787.00845
849	71778.46058
850	71770.05008
851	71768.47435
852	71766.77434
853	71764.45467
854	71760.62367
855	71758.69924
856	71748.54159
857	71746.58032
858	71743.78637
859	71743.05024
860	71740.66962
861	71732.19774
862	71729.84039
863	71729.11535
864	71724.97583
865	71719.2504
866	71716.5251
867	71705.60198
868	71703.50247
869	71701.58177
870	71700.61032
871	71698.50811
872	71696.53621
873	71695.60622
874	71689.30149
875	71685.12117
876	71683.34111
877	71675.10411
878	71666.8273
879	71665.91967
880	71664.16471
881	71662.12032
882	71659.1926
883	71658.30065
884	71650.19906
885	71648.94875
886	71648.09299
887	71639.94779
888	71631.97999
889	71630.99668
890	71621.3321
891	71617.46589
892	71613.45501
893	71606.86043
894	71604.63062
895	71601.63895
896	71593.88701
897	71591.58975
898	71590.7685
899	71588.92223
900	71587.03303
901	71586.42689
902	71579.28215
903	71577.73865
904	71573.844
905	71566.21634
906	71564.02152
907	71561.85606
908	71560.50397
909	71559.78599
910	71559.08461
911	71558.50591
912	71551.77634
913	71544.2709
914	71543.31894
915	71541.07177
916	71537.40375
917	71536.37263
918	71534.11309
919	71530.57097
920	71527.52066
921	71518.14811
922	71515.93277
923	71514.94808
924	71507.59033
925	71503.65719
926	71501.41696
927	71499.56554
928	71497.76639
929	71497.21314
930	71494.62155
931	71486.69466
932	71482.89898
933	71481.1908
934	71478.64623
935	71478.11888
936	71471.21498
937	71467.74218
938	71460.86611
939	71453.15247
940	71450.97493
941	71447.15413
942	71445.30641
943	71438.06852
944	71436.31764
945	71433.51694
946	71433.01359
947	71431.84544
948	71424.25277
949	71422.11233
950	71413.89128
951	71413.19289
952	71411.48967
953	71404.41917
954	71402.80421
955	71400.43264
956	71398.106
957	71397.80078
958	71391.17565
959	71387.4984
960	71386.98448
961	71385.40281
962	71379.16443
963	71377.50342
964	71371.87237
965	71369.8273
966	71367.68158
967	71365.59396
968	71360.864
969	71353.38517
970	71348.8049
971	71343.31613
972	71335.95361
973	71329.68902
974	71320.77072
975	71317.86219
976	71315.57686
977	71313.09341
978	71311.00904
979	71310.11114
980	71308.06254
981	71305.81964
982	71303.4095
983	71302.76629
984	71300.76473
985	71299.10567
986	71296.51016
987	71294.97154
988	71292.29869
989	71290.0978
990	71287.93732
991	71280.68758
992	71279.0678
993	71276.38264
994	71276.12247
995	71266.87037
996	71264.95248
997	71262.49999
998	71260.96606
999	71260.68575
